TrendID,ProductID,TrendData,TrendDate,Region,SalesVolume,MarketShare,CompetitorData,CreatedAt
1,20,Speech accept power some. Focus general understand black compare answer.,2023-01-20,Nevada,340,38.78,Mean individual adult choice item. Friend near participant high.,2020-01-21 19:54:22
2,63,"Interview every wear will.
The discussion outside former I.",2022-11-01,Delaware,65,5.5,Item town from up feel remember. Serious finish blue character beat.,2022-11-02 01:41:30
3,31,Able contain computer foreign push animal clearly trial. Week when production animal total just.,2022-03-13,South Carolina,97,93.1,Image here through be. Explain project without analysis huge not consumer main.,2023-03-30 01:32:23
4,18,Near all president. Center then forward issue response.,2021-10-23,Delaware,311,0.84,For someone positive. Major difficult goal person nice.,2023-05-15 05:25:37
5,96,Up situation report agreement education yeah ten soon. Research financial phone run.,2023-06-06,Kentucky,123,93.46,Challenge experience who eat program edge. Doctor to discussion author listen everything everyone.,2020-05-31 08:24:20
6,44,Total sign office modern. Chair financial set speak bank pass.,2022-10-09,South Carolina,484,46.56,All when concern team. Administration blue reality one also.,2022-06-04 13:15:31
7,50,Often participant both resource study form future still. Prepare name six up.,2021-11-11,New York,222,33.35,Sort through worry office then.,2023-03-25 04:19:12
8,71,Worker paper foot type. Within nature new nor century current run meet.,2023-03-01,New Mexico,5,6.89,Do model reach. Indicate call head.,2020-07-03 23:24:40
9,23,Under offer operation onto middle life. Above morning material fish about gas.,2023-09-09,Massachusetts,154,2.45,Study many tend parent pay. Each support course. Prepare sing often fine move organization.,2021-05-22 10:54:47
10,32,Floor today husband along role director.,2023-01-20,Ohio,162,12.36,Most law series. Green Mr own. Since foot add represent it late study.,2021-05-29 12:13:39
11,58,Activity raise current pressure everything. Early positive say.,2022-11-04,Connecticut,743,5.14,Claim best but pattern soldier. Party list citizen.,2022-05-23 19:15:50
12,15,Also believe suffer training. Thank possible most business. Time forward individual third.,2024-04-30,South Carolina,842,48.2,True use where what six. Movement rich art heart eye feeling.,2021-03-28 06:53:31
13,69,Between table organization. Difference fund black itself modern or.,2021-12-23,Texas,702,48.91,Leader miss agreement road because game. Story claim Mrs season peace key financial.,2020-03-16 09:00:34
14,2,Former certain between interesting after there quite. Face able strategy national resource tough.,2024-03-07,Oregon,330,55.49,Language spend plant send. Hotel administration material minute feel. Hour hotel out return can.,2021-09-29 05:22:09
15,88,Break face name less sea yeah. That four career to wear. Bag want soldier election.,2023-12-14,New Mexico,447,80.8,Keep power catch occur us leg.,2024-02-12 05:51:36
16,71,Since girl experience make service nor. Rich sit idea himself suffer management so quickly.,2024-05-04,Colorado,188,50.36,Never suddenly edge. Thing talk action week name.,2020-08-06 13:15:09
17,29,While plan rock remember. Center you station lead.,2021-11-25,Mississippi,990,43.92,Must ago store note building. Per because law dog across memory support.,2020-07-29 13:54:38
18,15,Certainly already statement strong box lose Mrs later. Show build go better in.,2021-12-10,Wyoming,370,9.61,Five over air stay chance past. Window security both.,2024-03-05 08:03:41
19,24,North turn program half gas should dinner just. Bit daughter positive third.,2022-04-30,Connecticut,737,5.72,Person want customer themselves enter. Fast system us who.,2023-10-05 08:22:58
20,63,Key perform chance. Always another concern show.,2023-12-20,California,886,63.69,Address next message you off friend society. Media staff success go resource risk wife.,2022-04-25 06:54:40
21,27,Carry time move board subject relate church. Name first north baby.,2023-01-30,Illinois,800,31.47,Interest way bill. Smile word might ball fight.,2024-04-20 04:12:47
22,48,Live natural situation military. Knowledge world strong house.,2024-01-16,Oklahoma,253,96.21,Summer alone bag factor under health. Remember you admit trouble take because.,2022-07-12 12:36:28
23,14,That play PM. None car trouble various reduce carry price ago.,2023-09-25,Connecticut,139,0.37,Move kind rate. Expert home shoulder sea me. Might tax color receive table later technology.,2021-12-10 13:32:10
24,79,Interest everybody bank event form give itself. Open discover base.,2024-04-16,Washington,157,67.2,Include ready anything political laugh somebody. Cold side manager over term page.,2021-09-28 11:15:35
25,97,Most decision Mr for certain career teacher. Sometimes example company decade fly because.,2022-11-22,Texas,697,0.03,"Nothing hotel alone especially.
Hold listen discussion full involve pull.",2021-01-19 03:33:48
26,68,Approach song after radio. Production never benefit.,2023-10-07,New Hampshire,209,82.29,Place right set remember moment. Read military suddenly officer society perform better.,2024-05-04 12:15:09
27,6,Box sell father major prove. Maintain economic painting herself area production finally.,2024-04-28,Louisiana,810,68.49,Very civil nation result. Against both whom both federal. Since table how lawyer.,2021-08-13 23:55:20
28,13,Himself quickly recent pretty parent every. Resource why debate under.,2023-05-09,Nevada,149,27.33,Act professor base medical environment laugh. Raise piece television everybody foot campaign.,2023-06-20 12:25:53
29,29,Almost ball enjoy affect. Important civil material it project. Table service election.,2022-12-30,Oregon,216,61.66,Teach audience better fear. Smile first several move.,2023-12-08 12:26:03
30,35,Cost catch expert start white.,2021-09-02,Maryland,671,7.42,Reality blue yet stand. Speech do suffer skin TV.,2023-10-29 06:02:18
31,49,However despite edge between. Cover two camera.,2022-10-09,Maryland,333,23.87,Evening discuss former their. Certainly investment out government up.,2022-02-02 16:29:24
32,77,Generation page official. Range simple little class.,2023-01-17,Wisconsin,108,98.88,Civil strong quickly mean college area similar. Song science always create around charge market.,2022-10-19 10:22:24
33,32,Well miss carry. Like truth seem hotel follow cost. Technology Mr already.,2023-05-26,Pennsylvania,581,12.51,Since this agency realize begin impact add particular. Exist return step him.,2023-03-06 07:39:03
34,36,Former interest stay Mr. Get white week be.,2022-10-25,Georgia,530,68.2,Election discover answer return list. Collection key federal sell.,2022-10-17 11:05:16
35,12,Itself on buy rule debate rest. According claim everything feeling rest mother.,2023-10-28,Nevada,667,29.36,Artist community born government. Accept travel move involve join religious note.,2022-04-09 16:14:00
36,61,Agree offer scientist thousand month. Quality indicate site its.,2023-08-16,Iowa,640,1.68,Air best not painting. Information everybody morning action ability.,2022-10-01 07:02:28
37,67,"Far avoid play page get small it particular. Never positive reflect court.
Adult region budget.",2021-07-14,New York,196,59.62,Lawyer bill true allow statement. Teach particular administration some bar movie question.,2020-01-07 01:34:40
38,46,Skill become tree do early memory every. Physical step range.,2024-05-08,Illinois,464,53.35,Him exactly seat trade consumer. Them unit nature toward traditional general condition trip.,2020-10-07 09:21:18
39,9,Want similar available. Too speech shoulder along anything general. We policy worker quite job.,2021-08-27,Arkansas,136,1.57,Close she enter tree. Culture stand school again.,2021-05-26 17:36:55
40,72,Air language respond time. Per remain floor note.,2022-01-03,Ohio,224,8.63,Everybody create bring red. Wrong develop yet fish art almost.,2023-09-27 23:51:18
41,85,Interview reflect they now before. Either official since small nor.,2023-02-05,Missouri,707,56.75,Deep thus such suggest.,2024-01-27 17:54:57
42,23,Standard answer reality rather man believe figure. Central test fly. Effect career former.,2023-05-30,Arkansas,349,38.22,Itself respond one process beat. Option various build each either stand.,2020-08-11 21:16:29
43,53,Minute accept population bar phone. Effect visit eight.,2022-05-18,Kansas,925,70.34,Body think occur cut nice. Figure especially month blue. Teacher we new operation art that picture.,2022-09-10 19:10:10
44,38,Similar city source ten writer operation. Include figure career huge no agree.,2023-10-25,Louisiana,613,96.63,"Way value action miss.
His chance fall reach civil reason.",2023-04-04 01:52:54
45,74,If dinner course too role continue size. Single commercial reason program learn media which.,2023-02-18,Rhode Island,357,60.99,"Trial fill long speak. Less prevent large yard.
Resource blood cover traditional.",2020-01-10 14:13:38
46,28,Trial me gas avoid expert training break. Data police weight stock appear admit several make.,2022-05-18,North Carolina,532,28.53,Student form political lawyer. Perform wish reflect building. Mention kitchen rate room your card.,2023-06-01 20:47:16
47,59,Sing investment how ago remember. Level style buy scene. Up yeah especially.,2022-09-22,Nebraska,295,93.78,Deep short challenge enter bring. Quality outside help memory already television reduce.,2020-02-02 23:04:03
48,90,Guess next treat three. Act budget individual car man feel interview. School adult think rest.,2023-07-23,Rhode Island,451,35.42,Risk dream there somebody. Appear option learn speech. Dinner lawyer him by too politics watch.,2021-06-28 09:18:19
49,26,Practice raise if particular officer.,2024-05-30,Nebraska,247,75.25,About which leave more either. Its customer itself fill.,2023-08-26 18:59:31
50,3,Upon whose real leave impact character carry again.,2022-08-11,Montana,398,47.14,Mother return if shoulder. Position trade stock walk spend.,2022-08-17 22:49:51
51,56,Society population decide interview international. Whom life degree marriage around usually effect.,2022-07-28,South Carolina,571,26.49,Change add several myself fund back indeed. Interview house when.,2023-12-05 15:37:07
52,83,Cell since politics community body across. Everyone then lay husband back.,2022-11-22,Oklahoma,91,37.24,Ahead that mission.,2022-05-06 12:35:58
53,93,Bring loss data return family represent. Former beautiful leave.,2021-09-20,Illinois,110,42.66,Plant place check. Factor best so in despite. Usually game sometimes couple ball recent.,2024-04-22 03:15:51
54,87,Education food mouth amount stay can back program. Evening often level let social understand too.,2021-11-16,Texas,382,49.04,International especially even. Easy approach example.,2022-04-19 15:35:54
55,88,Pm actually American teach.,2024-06-29,Kentucky,239,31.37,Through foreign stuff light beautiful reach service. Central particularly economic pick.,2024-04-30 16:07:52
56,15,Difficult wall nor account establish offer.,2022-07-18,Maryland,91,93.03,Politics himself be sea play thousand its. Up per ready design yes.,2022-08-12 22:11:30
57,29,Energy break official necessary drug. As word grow or for. Executive like wait resource voice.,2022-09-29,North Carolina,99,32.42,Shake better lot. Form goal station be myself them. Fast agency keep major half.,2023-05-20 18:17:44
58,75,Bag economy system natural hair service. Glass might future.,2023-11-23,Iowa,395,91.48,Nothing food along interview international another. Line address attorney.,2020-03-13 14:55:57
59,63,Part once explain civil dark senior protect. Why star activity boy.,2023-09-02,South Carolina,98,58.64,Fact board cause despite body mission town. Us build provide hope write three.,2021-12-26 22:14:12
60,76,Program major address minute official now serve. Discussion attention hour measure far true.,2022-10-17,West Virginia,278,53.49,Political what option leg police question. Moment beat animal choose woman.,2021-10-04 18:36:42
61,48,Close in agency space. Who hear four. Lead fight that.,2023-11-30,Missouri,43,64.14,Exactly clear page environment. Understand current side tax.,2023-07-07 05:53:57
62,31,Force kind relate assume security. Weight news such member.,2021-09-26,Georgia,977,96.8,Building trial general chance mention beat it hair. Magazine within institution.,2023-03-04 09:06:17
63,40,Structure with act third public. Short head age especially. Some speech financial modern.,2023-12-03,Maryland,159,15.43,Name accept policy decide. Story strong perhaps politics yeah partner.,2022-01-29 10:41:03
64,27,Half mouth customer executive break really hear. Since control soon face agency for.,2023-02-24,Tennessee,765,27.17,Pull onto beyond meet public law through. Affect light any.,2022-05-02 05:04:47
65,11,Sound stock arm nothing. Health bar not.,2024-04-04,Virginia,85,32.79,Drive generation artist. Hospital six film already produce mean hot.,2023-01-02 17:33:50
66,82,Her likely former many. Chance letter find without. Often reflect identify design seven represent.,2024-05-13,Tennessee,360,53.0,Politics whole especially lead fight woman. Action including and argue.,2020-06-08 22:31:01
67,55,Newspaper line number. Own number training.,2024-05-07,Arkansas,731,25.37,Record land analysis we. Job street production chair firm us lawyer.,2020-11-09 10:41:42
68,61,Yard usually project ever. Police sure road any quality throw.,2022-04-02,Wisconsin,11,90.19,Care despite no they itself her career. Election middle time.,2024-04-08 19:31:52
69,36,Play piece gas four couple site trip behind. Product cup section program whom.,2022-05-25,Alaska,830,49.72,"Action other ok. Name say picture ask. The station response Mrs.
Goal address human design.",2023-05-21 23:33:22
70,47,Sport from avoid single wear growth religious. Role civil admit you.,2022-08-03,Illinois,479,90.42,Her point myself significant. Production successful me game record condition.,2022-05-01 03:36:57
71,68,"Team use draw.
Even power various direction answer notice.",2023-03-28,Delaware,555,81.45,High should store. Finish attention house car table how certainly. Of down black hour.,2021-04-27 15:00:35
72,53,"Place market book. For positive true meet decide.
Tonight quite soon campaign accept effort.",2022-06-19,Nebraska,141,45.01,Oil type news degree. Year challenge back model.,2021-07-03 18:49:31
73,92,Chance international husband floor. Party mission week dinner rock study almost. Room floor let.,2022-09-24,Idaho,824,18.98,Popular spend discussion. Which fine morning environmental.,2022-10-29 17:59:08
74,47,Allow environmental throw employee threat hot husband bill.,2021-07-18,South Carolina,836,32.65,Enjoy beyond despite consumer heavy think. Seat bed tend support price.,2024-05-28 23:19:55
75,15,Yet attorney stay sort. His power big performance family tend base. Loss during read.,2022-12-04,New York,551,6.72,Above popular industry way no hair player term. Yeah by through.,2022-03-03 02:16:02
76,35,Season fire end range way. Form region fall play. Report stage total sell week guy sure.,2022-05-29,Connecticut,145,68.05,Method everything side everything. Line page such. Stuff five less lot class.,2022-12-10 00:21:13
77,72,Several fund feeling evidence new large. Successful play seek. Decade stop ok.,2022-09-19,California,298,55.04,Key whose magazine defense budget main. Market dinner direction soon site.,2023-12-10 17:08:54
78,48,Phone page parent bad create partner six. Rate edge form surface court. Behind kid purpose.,2022-09-17,New York,425,31.57,Professor probably year quickly. Everyone game food kind believe middle suffer.,2021-01-13 05:17:59
79,30,Many result ahead safe. Practice bank space huge pick.,2023-08-08,Connecticut,415,63.09,Need like save our us idea fact. Source think scientist close range open catch. Rate sister bit.,2023-10-05 09:52:49
80,33,Even left low evidence event include. Myself run decision PM grow evening red.,2023-12-27,California,933,6.12,Friend great financial lot. Order possible sometimes material way treat contain.,2024-06-01 19:13:07
81,10,Budget later individual I draw. Drop author citizen I whatever.,2021-08-04,Rhode Island,286,18.14,Church rich wrong wear. Girl hold our international away.,2020-03-26 20:06:54
82,31,Agent reality child method level seek. Gas meet necessary enjoy ball provide make.,2022-07-12,Montana,407,10.4,"Hear really although thing same you.
Bad he hear everything. Clearly although these win.",2021-06-21 21:06:31
83,24,Able expect store cover. You color he.,2024-03-27,New Hampshire,743,60.97,Fund teacher camera point degree. Enough street just produce about floor.,2020-04-12 06:32:39
84,57,Understand letter practice. Simple foreign Mr become week. Treat its son travel.,2023-10-31,Hawaii,560,20.45,"Kitchen city ever. Nice almost down tough.
Beat bed recognize baby. Third increase have.",2022-03-04 00:57:00
85,7,Trip large month morning read speak. Tend participant herself alone.,2023-01-14,Alabama,245,65.46,Much machine field theory national young world. Middle such visit feel can heavy.,2021-05-10 20:38:55
86,52,Hospital hotel mother material until television Mrs. Attack property cause very store mother.,2023-06-26,Mississippi,496,78.45,Sing defense eight under sell police sometimes. Make force else peace. Mrs late citizen investment.,2023-07-05 06:21:52
87,13,Within in at could well prepare. Cut over other Mrs seek. Wish where age.,2024-06-10,Florida,973,17.5,What bad series responsibility effect good different. National rock find base kid million.,2021-07-22 11:54:15
88,1,Never per wrong hear three though information my. Speak east prepare own question chair.,2021-10-19,West Virginia,798,47.48,"Education senior day where authority. Stage may Mrs kind take thought.
Might dream population.",2024-01-25 22:27:07
89,87,Goal ball several those to positive stop anything. Food adult surface he about.,2022-11-21,Oklahoma,260,21.26,Foreign prepare without place child hotel account.,2021-08-21 02:43:54
90,67,Beautiful difficult speech issue. Stop say people dog leave mission.,2023-01-10,Maine,907,2.92,Box hope your night difficult apply.,2021-11-08 11:22:56
91,28,"Cell old wait end against policy.
Something old foreign positive. Book senior increase student.",2023-04-27,Iowa,688,11.26,Off point establish hit marriage information.,2021-10-28 18:34:31
92,92,Call charge food prepare board. Instead series already wind.,2022-04-27,Missouri,717,71.98,May fly agency benefit me. East box strategy fill.,2022-07-15 20:29:18
93,40,Medical management she minute range value yard responsibility.,2022-12-19,Virginia,40,81.84,Such believe wide generation appear thing or. Toward if high improve deal kind recognize.,2020-10-16 16:12:06
94,23,Reason rather owner thought. Heavy science weight design give Democrat.,2024-01-24,Nevada,376,67.55,Find success above. Above discover car boy watch development science.,2020-06-04 06:52:52
95,61,Because wait appear nation whom kid guess.,2023-11-17,Georgia,482,78.47,Late bar media wait attention model. Old us network enough. Eye full today.,2023-04-25 11:11:53
96,43,As network rock subject apply enter green professional. Feeling government per memory.,2021-10-01,Mississippi,141,70.63,Our us political treatment involve general international. Body anyone entire history.,2022-10-22 02:11:04
97,13,Girl what eye some top. Well explain pull approach step late central.,2021-10-02,New Hampshire,319,64.86,Tend as tree western consumer result. Truth relationship dog read.,2022-08-22 13:22:29
98,11,Theory believe build back blood use question. Mind join lawyer art teacher.,2023-04-02,New Jersey,953,3.34,Interest kind miss writer hope to increase wish. Somebody white be so capital environmental.,2021-08-02 21:35:18
99,32,Level seven gas development after. Deal much professor enough.,2022-08-30,Louisiana,399,78.47,Author avoid improve wide war data even language.,2024-02-06 08:04:31
100,81,My Mr mind mean soon drop. Once short whole summer often support goal paper. Which hospital grow.,2024-01-11,Indiana,593,94.79,Mind where should defense admit.,2020-11-04 06:52:18
